,city,state,major_city,addres,geocode,lat_1,long_1
46,Tyler,TX,Tyler,"city Tyler, state TX, Tyler",,,
389,Hastings,MI,Hastings,"city Hastings, state MI, Hastings","Hastings City Hall, 201, East State Street, Hastings, Barry County, Michigan, 49058, United States",42.65,-85.29
472,Aurora,CO,Aurora,"city Aurora, state CO, Aurora","Emerald City Smoothie, 9881, Aurora Avenue North, Licton Springs, Greenwood, Seattle, King County, Washington, 98103, United States",47.7,-122.35
530,AURORA,CO,Aurora,"city AURORA, state CO, Aurora","Emerald City Smoothie, 9881, Aurora Avenue North, Licton Springs, Greenwood, Seattle, King County, Washington, 98103, United States",47.7,-122.35
554,Chino,CA,Ontario,"city Chino, state CA, Ontario",,,
730,Roanoke,TX,Roanoke,"city Roanoke, state TX, Roanoke",,,
905,Oak Park,MI,Oak Park,"city Oak Park, state MI, Oak Park",,,
1181,Fairfield,VA,Fairfield,"city Fairfield, state VA, Fairfield","Old City Road, Old City, Town of Fairfield, Herkimer County, New York, 13416, United States",43.16,-74.99
1807,Madison,TN,Madison,"city Madison, state TN, Madison","Emerald City Community Seventh Day Adventist Church, 801, 25th Avenue, Madison Valley, Central District, Seattle, King County, Washington, 98122, United States",47.61,-122.3
1946,Anderson,TX,Anderson,"city Anderson, state TX, Anderson",,,
2236,Abilene,TX,Abilene,"city Abilene, state TX, Abilene",,,
2287,Boston,MA,Dorchester,"city Boston, state MA, Dorchester",,,
2363,Marshall,MI,Marshall,"city Marshall, state MI, Marshall",,,
2464,Abingdon,VA,Abingdon,"city Abingdon, state VA, Abingdon",,,
2900,Crosby,TX,Crosby,"city Crosby, state TX, Crosby",,,
3194,Warren,MI,Warren,"city Warren, state MI, Warren","City of Glens Falls, Warren County, New York, 12801, United States",43.31,-73.64
3581,Fairfield,PA,Fairfield,"city Fairfield, state PA, Fairfield",,,
3700,Glendale,UT,Glendale,"city Glendale, state UT, Glendale",,,
4076,San Bernardino,CA,San Bernardino,"city San Bernardino, state CA, San Bernardino",,,
4347,Beulah,CO,Beulah,"city Beulah, state CO, Beulah",,,
4552,Mission Hills,CA,Mission Hills,"city Mission Hills, state CA, Mission Hills",,,
4653,Charlotte,MI,Charlotte,"city Charlotte, state MI, Charlotte","Charlotte High School, Atwell Street, Charlotte, City of Rochester, Monroe County, New York, 14612, United States",43.25,-77.62
5019,Carroll,OH,Carroll,"city Carroll, state OH, Carroll",,,
5345,Adams,TN,Adams,"city Adams, state TN, Adams","City of Ritzville Park, Ritzville, Adams County, Washington, United States",47.12,-118.37
5503,MORRISON,CO,Morrison,"city MORRISON, state CO, Morrison","Morrison Avenue & Watson Avenue, Morrison Avenue, Bronx County, The Bronx, City of New York, New York, 10472, United States",40.83,-73.87
6268,Nashville,MI,Nashville,"city Nashville, state MI, Nashville",,,
6388,El Paso,TX,El Paso,"city El Paso, state TX, El Paso",,,
6869,Morrison,CO,Morrison,"city Morrison, state CO, Morrison","Morrison Avenue & Watson Avenue, Morrison Avenue, Bronx County, The Bronx, City of New York, New York, 10472, United States",40.83,-73.87
8517,Boston,MA,Roxbury,"city Boston, state MA, Roxbury",,,
10455,Portland,MI,Portland,"city Portland, state MI, Portland","Portland City Hall, 1220, Southwest 5th Avenue, University District, Downtown, Portland, Multnomah County, Oregon, 97204, United States",45.52,-122.68
11045,Boston,MA,Brighton,"city Boston, state MA, Brighton",,,
12395,Dorchester,MA,Dorchester,"city Dorchester, state MA, Dorchester",,,
12908,Cleveland,OK,Cleveland,"city Cleveland, state OK, Cleveland",,,
14896,Wildwood,GA,Wildwood,"city Wildwood, state GA, Wildwood",,,
15107,Ontario,CA,Ontario,"city Ontario, state CA, Ontario","City Pier, City of Canandaigua, Ontario County, New York, 14424, United States",42.87,-77.27
16191,Lyons,MI,Lyons,"city Lyons, state MI, Lyons","Lyons City Hall, North State Street, Lyons, Toombs County, Georgia, 30436, United States",32.21,-82.32
18051,Westlake,TX,Roanoke,"city Westlake, state TX, Roanoke",,,
23077,Porter,TX,Porter,"city Porter, state TX, Porter",,,
23128,Lowell,MI,Lowell,"city Lowell, state MI, Lowell",,,
23231,Santa Clarita,CA,Valencia,"city Santa Clarita, state CA, Valencia",,,
24241,Seattle,WA,,,"Nanno, Ville d'Anaunia, Comunità della Val di Non, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38093, Italia",46.31,11.05
24511,Centennial,CO,Aurora,"city Centennial, state CO, Aurora",,,
25501,Eagle,MI,Eagle,"city Eagle, state MI, Eagle","Albany City Hall, 24, Eagle Street, Downtown, City of Albany, Albany County, New York, 12207, United States",42.65,-73.75
26259,Falcon Heights,TX,Falcon Heights,"city Falcon Heights, state TX, Falcon Heights",,,
26480,Quitman,GA,Quitman,"city Quitman, state GA, Quitman",,,
27850,Saint Paul,VA,Saint Paul,"city Saint Paul, state VA, Saint Paul",,,
30065,Vacaville,CA,,,"Nanno, Ville d'Anaunia, Comunità della Val di Non, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38093, Italia",46.31,11.05
31031,Orleans,MI,Orleans,"city Orleans, state MI, Orleans","White City Road, Town of Barre, Orleans County, New York, 14058, United States",43.13,-78.15
31826,Meadowview,VA,Meadowview,"city Meadowview, state VA, Meadowview",,,
32285,Centerville,MA,Centerville,"city Centerville, state MA, Centerville",,,
32450,Montrose,CA,Montrose,"city Montrose, state CA, Montrose",,,
32983,Logan,OH,Logan,"city Logan, state OH, Logan",,,
35507,Boston,MA,Hyde Park,"city Boston, state MA, Hyde Park",,,
36134,Mc Gregor,TX,Mc Gregor,"city Mc Gregor, state TX, Mc Gregor",,,
36936,Cedar Fort,UT,Cedar Valley,"city Cedar Fort, state UT, Cedar Valley",,,
37694,Alto,MI,Alto,"city Alto, state MI, Alto",,,
39352,Valencia,CA,Valencia,"city Valencia, state CA, Valencia","Residencias Town City, Calle 127 - Callejón Mújica, Agua Blanca, Prebo, Parroquia San José, Municipio Valencia, Carabobo, 2001, Venezuela",10.2,-68.02
40551,Burleson,TX,Burleson,"city Burleson, state TX, Burleson",,,
40844,McGregor,TX,Mc Gregor,"city McGregor, state TX, Mc Gregor",,,
40848,Kilgore,TX,Kilgore,"city Kilgore, state TX, Kilgore",,,
41218,Lindale,TX,Tyler,"city Lindale, state TX, Tyler",,,
49274,Bellevue,MI,Bellevue,"city Bellevue, state MI, Bellevue","City Center Bellevue, 500, 108th Avenue Northeast, Bellevue, King County, Washington, 98004, United States",47.61,-122.2
50043,Northlake,TX,Roanoke,"city Northlake, state TX, Roanoke",,,
50274,Miami Gardens,FL,,,"Nanno, Ville d'Anaunia, Comunità della Val di Non, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38093, Italia",46.31,11.05
50745,Sunset Beach,CA,Sunset Beach,"city Sunset Beach, state CA, Sunset Beach",,,
50953,Dripping Springs,TX,Dripping Springs,"city Dripping Springs, state TX, Dripping Springs",,,
53123,Sumner,WA,Sumner,"city Sumner, state WA, Sumner","Sumner City Hall, 1104, Maple Street, Sumner, Pierce County, Washington, 98372, United States",47.2,-122.24
54237,Needmore,TN,Needmore,"city Needmore, state TN, Needmore",,,
61982,Pacific,WA,Pacific,"city Pacific, state WA, Pacific","Pacific City Park, Pacific, King County, Washington, United States",47.26,-122.24
62741,Del Valle,TX,Del Valle,"city Del Valle, state TX, Del Valle",,,
63938,Edwards,IL,Edwards,"city Edwards, state IL, Edwards",,,
64824,Rosedale,VA,Rosedale,"city Rosedale, state VA, Rosedale","Rosedale Avenue, Rosedale, City of White Plains, Westchester County, New York, 10605, United States",41.0,-73.74
67717,Roxbury,MA,Roxbury,"city Roxbury, state MA, Roxbury","Roxbury Avenue, Roxbury, Queens County, City of New York, New York, 11697, United States",40.57,-73.89
72299,Fairfield,UT,Cedar Valley,"city Fairfield, state UT, Cedar Valley",,,
73202,Milton,WA,Milton,"city Milton, state WA, Milton",,,
74934,Clarksburg,CA,Clarksburg,"city Clarksburg, state CA, Clarksburg",,,
75866,Lakewood,WA,,,"Nanno, Ville d'Anaunia, Comunità della Val di Non, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38093, Italia",46.31,11.05
76450,Woodland,MI,Woodland,"city Woodland, state MI, Woodland","Woodland City Works Shop, Woodland, Clark County, Washington, United States",45.9,-122.74
77673,Guild,TN,Guild,"city Guild, state TN, Guild",,,
81147,Elmira,CA,Elmira,"city Elmira, state CA, Elmira",,,
82611,Homer,MI,Homer,"city Homer, state MI, Homer","Homer Alley, North Olean, City of Olean, Cattaraugus County, New York, 14760, United States",42.1,-78.43
82757,Jamestown,CO,Jamestown,"city Jamestown, state CO, Jamestown","City View Avenue, Jamestown, Chautauqua County, New York, 14701, United States",42.08,-79.26
82977,Quito Ecuador,NY,,,"Nanno, Ville d'Anaunia, Comunità della Val di Non, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38093, Italia",46.31,11.05
84235,Clinton,WA,Clinton,"city Clinton, state WA, Clinton","Charlotte City Hall, 1st Street, Charlotte, Clinton County, Iowa, 52731, United States",41.96,-90.47
84611,Huntington Beach,CA,Sunset Beach,"city Huntington Beach, state CA, Sunset Beach",,,
85027,Other City Value - Out Of Area,NY,,,"Nanno, Ville d'Anaunia, Comunità della Val di Non, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38093, Italia",46.31,11.05
85942,Playa,DE,Beaumont,"city Playa, state DE, Beaumont",,,
88348,New Hudson,MI,New Hudson,"city New Hudson, state MI, New Hudson","Hudson, Front Street, City of Hudson, Columbia County, New York, 12534, United States",42.25,-73.8
90839,Clifton,CO,Clifton,"city Clifton, state CO, Clifton","Clifton, Bay Street, Clifton, Staten Island, City of New York, New York, 10304, United States",40.62,-74.07
91717,Nora,VA,Nora,"city Nora, state VA, Nora",,,
99255,Huntington,VT,,,"Nanno, Ville d'Anaunia, Comunità della Val di Non, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38093, Italia",46.31,11.05
100690,Cherry Valley,MA,Cherry Valley,"city Cherry Valley, state MA, Cherry Valley","Cherry Valley Marketplace, Cherry Valley Avenue, Garden City South, Town of Hempstead, Nassau County, New York, 11552, United States",40.71,-73.66
104274,Key Biscayne,FL,,,"Nanno, Ville d'Anaunia, Comunità della Val di Non, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38093, Italia",46.31,11.05
109379,Santa Ana,TN,Santa Ana,"city Santa Ana, state TN, Santa Ana",,,
110585,San Antonio,TX,,,"Nanno, Ville d'Anaunia, Comunità della Val di Non, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38093, Italia",46.31,11.05
112076,Brighton,MA,Brighton,"city Brighton, state MA, Brighton","Brighton Beach, Brighton Beach Avenue, Brooklyn, Kings County, City of New York, New York, 11235, United States",40.58,-73.96
112762,Clarksville,MI,Clarksville,"city Clarksville, state MI, Clarksville",,,
115632,Rye,CO,Rye,"city Rye, state CO, Rye","Rye, Station Plaza, City of Rye, Westchester County, New York, 10580, United States",40.99,-73.68
129701,,MA,Washington,,"Nanno, Ville d'Anaunia, Comunità della Val di Non, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38093, Italia",46.31,11.05
132754,San Benito,TX,San Benito,"city San Benito, state TX, San Benito",,,
132756,GOLDEN,CO,Evergreen,"city GOLDEN, state CO, Evergreen",,,
133024,Brooklyn,NY,,,"Nanno, Ville d'Anaunia, Comunità della Val di Non, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38093, Italia",46.31,11.05
141711,Highway 30,TX,Anderson,"city Highway 30, state TX, Anderson",,,
143412,Bonaire,GA,Bonaire,"city Bonaire, state GA, Bonaire",,,
144351,Seminole,FL,Seminole,"city Seminole, state FL, Seminole",,,
148722,Houston,PA,Houston,"city Houston, state PA, Houston",,,
160330,Coral Gables,FL,,,"Nanno, Ville d'Anaunia, Comunità della Val di Non, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38093, Italia",46.31,11.05
164188,Bartlett,TN,Arlington,"city Bartlett, state TN, Arlington",,,
167337,McDowell,KY,Mc Dowell,"city McDowell, state KY, Mc Dowell",,,
168434,Spring,TN,Spring,"city Spring, state TN, Spring","Fall City Airport, Southeast 47th Place, Spring Glen, King County, Washington, 98065, United States",47.56,-121.86
168502,Stanwood,WA,Stanwood,"city Stanwood, state WA, Stanwood","City Hall Park, Stanwood, Snohomish County, Washington, United States",48.24,-122.37
168799,EVERGREEN,CO,Evergreen,"city EVERGREEN, state CO, Evergreen","Evergreen Place, Evergreen Place Condominium, City of Rensselaer, Rensselaer County, New York, 12144, United States",42.67,-73.71
171130, ,BA,Miami,"city  , state BA, Miami",,,
171190,Dixie,GA,Dixie,"city Dixie, state GA, Dixie",,,
172476,Augusta,MI,Augusta,"city Augusta, state MI, Augusta","City Asset Group, West Augusta Avenue, Garfield, Spokane, Spokane County, Washington, 99201, United States",47.67,-117.43
177175,JEFFERSON,CO,Morrison,"city JEFFERSON, state CO, Morrison","Morrison Street, City of Watertown, Jefferson County, New York, 13601, United States",43.99,-75.91
180694,Durham,NC,,,"Nanno, Ville d'Anaunia, Comunità della Val di Non, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38093, Italia",46.31,11.05
185933,Keller,TX,Roanoke,"city Keller, state TX, Roanoke",,,
186516,Briaroaks,TX,Burleson,"city Briaroaks, state TX, Burleson",,,
191797,Lone Oak,TX,Lone Oak,"city Lone Oak, state TX, Lone Oak",,,
191845,Princeton,TX,Princeton,"city Princeton, state TX, Princeton",,,
192193,Other,OT,Brooklyn,"city Other, state OT, Brooklyn",,,
199137,Other City Not In the State of Florida,FL,Mcallen,"city Other City Not In the State of Florida, state FL, Mcallen",,,
202891,Miami,FL,,,"Nanno, Ville d'Anaunia, Comunità della Val di Non, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38093, Italia",46.31,11.05
205037,Rosharon,TX,Rosharon,"city Rosharon, state TX, Rosharon",,,
216296,Arlington,TN,Arlington,"city Arlington, state TN, Arlington","Arlington City Hall, East 3rd Street, Downtown Arlington, Arlington, Snohomish County, Washington, 98223, United States",48.19,-122.13
217490,Cedar Valley,UT,Cedar Valley,"city Cedar Valley, state UT, Cedar Valley",,,
217610,White Oak,TX,White Oak,"city White Oak, state TX, White Oak",,,
229754,Bonsall,CA,,,"Nanno, Ville d'Anaunia, Comunità della Val di Non, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38093, Italia",46.31,11.05
233641,Fort Lauderdale,FL,,,"Nanno, Ville d'Anaunia, Comunità della Val di Non, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38093, Italia",46.31,11.05
240868,Littleton,CO,Lone Tree,"city Littleton, state CO, Lone Tree",,,
243297,Union Grove,NC,Union Grove,"city Union Grove, state NC, Union Grove",,,
252086,Manvel,TX,Manvel,"city Manvel, state TX, Manvel",,,
265127,College Grove,TN,College Grove,"city College Grove, state TN, College Grove",,,
265829,Winston Salem,NC,,,"Nanno, Ville d'Anaunia, Comunità della Val di Non, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38093, Italia",46.31,11.05
280800,Venus,TX,Venus,"city Venus, state TX, Venus",,,
285694,Atlanta,GA,,,"Nanno, Ville d'Anaunia, Comunità della Val di Non, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38093, Italia",46.31,11.05
294824,Oakwood,VA,Oakwood,"city Oakwood, state VA, Oakwood",,,
303553,Laredo,TX,,,"Nanno, Ville d'Anaunia, Comunità della Val di Non, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38093, Italia",46.31,11.05
306187,Foreign Country,OS,,,"Nanno, Ville d'Anaunia, Comunità della Val di Non, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38093, Italia",46.31,11.05
315023,Dante,VA,Nora,"city Dante, state VA, Nora",,,
319390,Indianola,WA,Indianola,"city Indianola, state WA, Indianola",,,
320645,Jefferson,CO,Morrison,"city Jefferson, state CO, Morrison","Morrison Street, City of Watertown, Jefferson County, New York, 13601, United States",43.99,-75.91
323754,--,FL,Mcallen,"city --, state FL, Mcallen",,,
326099,Solon,OH,,,"Nanno, Ville d'Anaunia, Comunità della Val di Non, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38093, Italia",46.31,11.05
328302,Memphis,TN,,,"Nanno, Ville d'Anaunia, Comunità della Val di Non, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38093, Italia",46.31,11.05
330681,Lone Tree,CO,Lone Tree,"city Lone Tree, state CO, Lone Tree",,,
330682,Other City Value - Out Of Area,FL,,,"Nanno, Ville d'Anaunia, Comunità della Val di Non, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38093, Italia",46.31,11.05
344867,Highlands,TX,Highlands,"city Highlands, state TX, Highlands",,,
348771,Cunningham,TN,Cunningham,"city Cunningham, state TN, Cunningham",,,
352077,Freedom,PA,Fairfield,"city Freedom, state PA, Fairfield",,,
354792,SeaTac,WA,,,"Nanno, Ville d'Anaunia, Comunità della Val di Non, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38093, Italia",46.31,11.05
360646,Greenville,MI,Greenville,"city Greenville, state MI, Greenville","Greenville Town Hall, 1537, Route 6, South Centerville, City of Port Jervis, Town of Wawayanda, Orange County, New York, 12771, United States",41.38,-74.56
